66.17399989261955,7.409911315300885
84.03697189645956,17.57247412205013

 New Run 
no. , mean, stdev 
0,7.409911315300885, 18.29683109621562, 
1,17.57247412205013, 24.85243949613242, 

 New Run 
no. , mean, stdev 
0,7.310111168091941, 18.187528572848873, 
1,14.754258395314439, 22.64028128165544, 

 New Run 
no. , mean, stdev 
0,3.9910689705631035, 13.800004313261622, 
1,12.805574985111612, 19.366094722419675, 

 New Run 
no. , mean, stdev 
0,-2.430093430345188, 12.455984245767045, 
1,4.066471544949786, 20.067292103857007, 
2,2.772872840763365, 19.667189951924087, 
3,4.782464714920826, 22.056115629379676, 
4,6.254017427843531, 23.095037373354913, 
5,3.6990298339057204, 20.450103045474805, 
6,4.828163654891866, 21.19570869847336, 
7,7.399673429146861, 22.791592035243145, 
8,6.809518309786382, 22.222150938874975, 
9,7.481587526783653, 24.03217305098435, 

 New Run 
no. , mean, stdev 
0,-2.0833929991520694, 12.513910575912943, 
1,3.4077479760107376, 19.227741105100762, 
2,3.7914933466383762, 19.695508299168573, 
3,5.355101092725973, 21.281354065260924, 
4,7.223326256931513, 22.902879721913674, 
5,7.465138985735759, 24.44080021709352, 
6,7.489789253536084, 23.491638626009756, 
7,6.550131148876801, 23.16309469934468, 
8,5.8569454861770405, 22.49517620555359, 
9,7.394037856725888, 23.26436834869431, 

 New Run 
no. , mean, stdev 
0,-2.726434130904838, 10.117378000740436, 
1,1.4471636137929655, 16.154871392715002, 
2,1.871689814823081, 17.155472970929296, 
3,4.788804081166947, 20.855655687695915, 
4,5.415011006925159, 21.116104305352884, 
5,4.482192404763362, 20.247479500431357, 
6,4.328700052302907, 21.088935578517006, 
7,4.767492784102513, 20.958288231162545, 
8,4.012797706508831, 20.423687194512613, 
9,5.7332520884977844, 21.143608510991758, 
